id,iron_mg,magnesium_mg,zinc_mg,vitamin_d_mcg,vitamin_c_mg,vitamin_b12_mcg
167672,0.72,27,0.46,0,1.6,0
167673,3.27,24,5.26,0,0,2.7
167674,1.22,16,0.51,0.1,2.3,0.11
167675,1.16,18,1.3,0.2,1.6,0.22
167676,0.76,24,0.74,0,7.1,0.11
167677,1.07,14,0.36,0.1,1.7,0
167678,0.56,15,0.43,0,8.1,0.07
167679,0.94,20,1.13,0.1,0.9,0.2
167680,0.97,17,0.69,0,0.7,0.17
167681,0.08,3,0,0,560,0
167682,0,0,0,0,0,0
167683,0.29,28,0.82,0.2,0,0.49
167684,0.13,2,0.04,0,0.4,0.07
167685,0.66,12,1.5,0.5,0,1.31
167686,0.04,45,0.47,0,0.7,0.55
167687,0.1,7,0.1,0,0,0.2
167688,0.03,0,0.02,0,0,0
167689,1.06,81,1.49,0,0.5,0.19
167691,0.04,0,0.01,0,0,0
167692,0.14,4,0.3,0,0,0.11
167693,0.4,9,0.18,0,0,0
167694,1.62,19,3.17,2,1.1,1.26
167695,0.27,52,0.4,0,0,0
167696,1.15,11,1.96,0.6,1,1.4
167697,0.06,13,0.24,0,1.5,0.37
167698,1.12,14,1.45,0.9,0,1.3
167699,0.12,15,0.21,0,0.5,0.26
167700,0.12,2,0.05,0,0,0
167701,1.2,58,0.89,0,0.2,0.04
167702,0,0,0.07,0,0,0
167703,0.14,5,0.38,0,0,0.63
167704,0.27,6,0.2,0,8.8,0.09
167705,0.95,51,3.19,0.6,0,1.4
167706,0,4,0.05,0,15,0
167707,0.08,245,0.01,0,2400,0
167708,0.42,11,0.2,0,27.7,0
167709,1.46,25,2.1,0.1,0,0.34
167710,2.3,23,4.27,0.1,0,0.36
167711,0.33,11,0.16,1.3,2,0.06
167712,1.44,33,3.5,1,0,1.23
167713,1.78,26,3.1,0.1,0,0.37
167714,1.69,10,3.73,0,8,0
167715,3.87,174,3.13,0,0,0
167716,0.1,4,0.29,0,4,0.49
167717,4.04,180,4.19,0,0,0.5
167719,3.83,12,0.65,0,0,5.11
167721,0.28,9,0.27,0,21.2,0.14
167722,1.06,40,0.31,0,2.5,0
167723,0.1,6,0.02,0,0,0
167724,2.81,106,1.58,0,0,0
167725,2.88,143,2.2,0,120,3
167727,1.79,40,1.51,1,11.9,0.6
167730,0.1,1,0.1,1.1,0,0
167734,4.86,27,4.1,0,0,0
167735,0.25,26,3.13,0.3,0,0.92
167736,0.23,1,0.13,0,0,0
167737,0.13,0,0.02,0,0,0
167738,0.8,10,0.1,0,0.7,0
167739,0.04,1,0.02,0,4.2,0
167740,3.87,110,1.49,0,0,0
167741,0.05,17,0.19,0,0,0
167742,0.58,37,1.55,0,0,2.15
167743,3.6,10,0.19,0,0,0
167744,3.5,250,1,0,0,0.5
167745,1.4,20,1,0,0,1
167746,0.6,8,0.06,0,53,0
167747,0.08,6,0.05,0,38.7,0
167748,0.06,7,0.19,0,14.3,0
167749,0.8,15,0.25,0,129,0
167750,0.3,85,0.12,0,14,0
167751,0.41,18,0.19,0,2.9,0
167752,1.04,19,0.22,0,2.7,0
167753,1.18,14,0.21,0,4.1,0
167754,0.11,6,0.08,0,61,0
167755,0.69,22,0.42,0,26.2,0
167756,0.42,12,0.16,0,8.7,0
167757,0.65,13,0.18,0,16.5,0
167758,0.22,12,0.1,0,8,0
167759,0.8,12,0.1,0,14.7,0
167760,0.78,11,0.19,0,23,0
167761,0.6,21,0.1,0,20.6,0
167762,0.41,13,0.14,0,58.8,0
167763,2.8,92,0.1,0,3.5,0
167764,0.52,13,0.11,0,17.5,0
167765,0.24,10,0.1,0,8.1,0
167766,0.43,4,0.26,0,0,0
167767,0.28,15,0.1,0,9.4,0
167768,0.3,7,0.11,0,3.1,0
