id,iron_mg,magnesium_mg,zinc_mg,vitamin_d_mcg,vitamin_c_mg,vitamin_b12_mcg
170190,0.91,33,0.57,0,26,0
170191,19.2,362,7.29,0,0,0
170192,15.17,361,10.67,0,0,0
170193,0.17,1,0.22,0,0,0.27
170194,2.1,14,2.06,0,34,2.13
170195,1.49,10,2.2,0,30.2,1.51
170196,2.95,16,2.87,0,3.1,3.79
170197,1.23,11,2.39,0,24,1.64
170198,3.14,27,6.37,0.2,0,3.45
170199,1.69,14,2.85,0,27,1.78
170200,1.86,12,4.58,0.1,0,1.63
170201,3.32,23,9.85,0.1,0,3.5
170202,3.45,18,3.55,0,0,5.14
170203,3.37,23,10.4,0.1,0,4.28
170204,2.22,17,4.98,0.1,0.3,1.87
170205,2.42,20,7.58,0.1,0,3.1
170206,2.79,20,6.27,0.1,0,2.76
170207,2.69,19,6,0.1,0,2.63
170208,2.98,21,6.91,0.1,0,2.86
170209,2.98,21,6.85,0.1,0,2.96
170210,2.82,22,8,0,0,2.42
170211,2.34,18,5.83,0,0,2.33
170212,2.79,22,7.39,0,0,2.58
170213,2.42,19,6.66,0.2,0,2.13
170214,2.67,20,9.28,0.1,0,2.88
170215,3.68,23,10.27,0.2,0,2.47
170216,3.2,22,11.21,0.1,0,3.5
170217,3.18,22,11.49,0.1,0,3.22
170218,2.82,25,7.46,0,0,2.61
170219,1.75,23,4.93,0.2,0,1.6
170220,2.28,23,5.93,0,0,3
170221,2.3,23,5.98,0,0,3.01
170222,2.24,18,4.61,0,0,1.53
170223,2.71,21,5.41,0,0,1.97
170224,2.2,17,4.41,0,0,1.61
170225,2.74,22,5.78,0,0,1.76
170226,2.85,23,5.97,0,0,1.8
170227,2.35,19,4.92,0,0,1.45
170228,1.84,15,4.3,0,0,2.32
170229,1.86,15,4.32,0,0,2.13
170230,2.18,17,4.49,0.2,0,1.49
170231,2.22,17,4.44,0,0,1.62
170232,2.15,18,4.53,0,0,1.36
170233,2.3,18,4.73,0.1,0,1.52
170234,3.27,25,4.5,0,0,2.68
170235,3.32,26,4.56,0,0,2.7
170236,3.32,26,4.56,0,0,2.7
170237,3.24,18,4.21,0.1,0,4.1
170238,3.32,19,4.54,0.1,0,4.08
170239,3.41,19,4.66,0.1,0,4.25
170240,3.37,19,4.61,0.1,0,4.11
170241,0.05,8,0.09,0,0,0
170242,0.17,4,0.02,0,0,0
170243,0.12,2,0.08,0,0,0
170244,1.1,20,0.6,0,0,0.48
170245,4.9,77,1.06,0,1.7,0
170246,2.66,131,3.44,0,0,0
170247,2.78,108,2.64,0,0.3,0
170248,1.63,67,1.09,0,31.1,0
170249,4.32,35,0.85,0,0,0
170250,1.49,131,3,0,0,0
170251,1.14,151,2.5,0,0,0
170252,1.96,137,2.53,0,0,0
170253,1.35,89,1.01,0,25.7,0
170254,1.6,97,1.15,0,0.2,0
170255,0.3,3,0.07,0,1.2,0
170256,3.7,82,1.2,0,1.8,0.05
170257,0,0,0,0,0,0
170258,1.58,27,0.55,0,0,0.07
170259,0.67,1,0.47,0,10.4,0
170260,0.71,0,0,0,0.9,0
170261,0.06,0,0,0,1.1,0
170262,0.19,0,0,0,0.9,0
170263,0.19,0,0,0,0.9,0
170264,0.09,0,0,0,0.8,0
170265,0.36,0,0,0,0.7,0
170266,0.28,0,0,0,0.4,0
170267,0.03,0,0,0,0,0
170268,0.85,0,0,0,1,0
170269,0.84,0,0,0,0.7,0
170270,0.93,29,0.58,0.2,0.7,0.29
170271,8.02,146,2.01,0,0,0.23
170272,6.32,176,2.65,0,0,0.18
170273,11.9,228,3.31,0,0,0.28
170274,8.13,152,2.11,0,0,0.23
170275,1.3,49,0.99,0,0.6,0.15
170276,0.11,21,0.7,0,0,0
170277,0.09,1,0.01,0,17,0
170278,0.6,89,1.23,0,0.1,0.05
170279,0,1,0.19,0,136.4,0
170280,0.34,5,0.2,0,18.1,0
170281,0,45,0.08,0,0,0
170282,0.77,27,1.02,0,2.7,0
170283,3.6,133,2.77,0,0,0
170284,2.5,79,2.13,0,0,0
170285,1.33,22,0.82,0,0,0
170286,2.2,231,2.4,0,0,0
170287,0.96,32,0.57,0,0,0
170288,2.71,127,2.21,0,0,0
170289,2.79,64,1.56,0,0,0
170290,2.38,93,1.73,0,0,0
170291,0.75,42,0.86,0,1.1,0.07
170292,1.01,33,1.05,0.1,0,0.31
170293,2.35,21,2.77,0.2,2.9,1.28
170294,2.57,24,2.79,0.1,0,1
170295,1.77,24,0.61,0.1,0.8,0.13
170296,1.5,25,0.49,0.2,1.8,0.68
170297,1.56,27,0.58,0.9,1.5,0.59
170298,2.09,20,1.5,0,0,0.44
170299,1.57,22,0.67,0.5,0,1.06
170300,0.22,8,0.14,0,14.6,0.01
170301,2.55,40,0.73,0,0,0
170302,2.76,15,0.5,0,0,0
170303,0.97,30,0.72,0,1,0.19
170304,0.65,25,0.45,0,6.2,0
170305,2.5,38,1.74,0,0.4,2
170306,1.52,23,0.64,0,1.1,0.11
170307,1.93,22,1.18,0,0.8,0.2
170308,1.93,22,1.18,0.1,0.8,0.2
170309,1.72,22,0.66,0,1.2,0.08
170310,2.02,22,1.98,0,0.6,0.58
170311,2.02,22,1.98,0.2,0.6,0.58
170312,2.14,22,0.96,0,1.3,0.18
170313,2.14,22,0.96,0,1.3,0.18
170314,1.72,22,0.66,0,1.2,0.08
170315,1.81,20,1.05,0,7.5,0.22
170316,1.57,22,0.67,0,0,1.06
170317,2.27,23,1.32,0,1.2,0.78
170318,1.71,20,0.62,0.2,0.3,0.33
170319,1.56,27,0.58,0,0.3,1.08
170320,2.35,20,1.91,0,0.6,0.86
170321,2.41,22,2.69,0,0.9,1.28
170322,2.34,19,2.58,0,0.5,1.54
170323,3.35,21,2.1,0,0.5,1.27
170324,2.78,22,2.18,0,0.6,1.3
170325,2.94,19,3.05,0,0.7,1.92
170326,1.04,20,0.44,0,0,0.59
170327,0.73,27,0.44,0,2.2,0
170328,2.87,25,2.38,0,0.2,0
170329,2.5,24,2.4,0,0.2,0
170330,1.5,25,0.49,0,0.2,0
170331,1.79,23,0.62,0,0.2,0
170332,1.19,32,1.75,0,0.4,0.93
170333,1.67,19,1.37,0,0.1,0.84
170334,1.56,28,0.65,0,0,0.33
170335,2,27,1.38,0,0,0.6
170336,0.75,42,0.86,0,0,0.07
170337,1.01,33,1.05,0,0,0.31
170338,1.01,28,0.6,0,0,0.2
170339,2.86,16,0.5,0,0,0
170340,0.21,9,0.15,0,14.6,0.03
170341,0.69,33,0.68,0,0,0.17
170342,0.98,23,1.82,0,0,0.45
170343,0.67,18,0.61,0,0,0.36
170344,0.51,28,0.89,0,0,0.3
170345,1.05,23,2.51,0,0,0.63
170346,0.88,22,1.44,0,0,0.4
170347,0.93,24,1.36,0,0,0.39
170348,0.57,24,0.78,0,0,0.32
170349,0.91,21,1.84,0,0,0.54
170350,1.73,19,0.67,0,0,0.38
170351,1.03,24,2.01,0,0,0.59
170352,0.92,26,2.02,0,0,0.75
170353,0.74,25,0.76,0,0,0.36
170354,1.06,22,1.76,0,0,0.62
170355,0.49,17,0.89,0.1,14.3,0.88
170356,0.54,28,0.97,0.1,0,0.3
170357,1.03,24,2.5,0.1,0,0.74
170358,0.91,21,1.94,0.2,0,0.5
170359,1,22,1.45,0.2,0,0.43
170360,1.04,24,1.33,0.1,0,0.46
170361,2.35,27,1.67,0,0.5,0.36
170362,0.77,27,1.56,0,1.5,0.33
170363,1.01,27,1.3,0,0,0.41
170364,0.92,28,1.4,0,0.8,0.48
170365,2.45,23,1.26,0,1,0.49
170366,1.73,25,1.51,0,2.1,0.58
170367,2.41,24,1.32,0,1.7,0.48
170368,1.58,23,0.75,0.1,2.4,0.22
170369,2.78,25,1.63,0,2.8,0.71
170370,1.13,25,1.65,0,1.2,0.81
170371,1.07,25,1.48,0,1.1,0.66
170372,2.39,21,1.25,0,1.6,0.48
170373,2.14,24,1.49,0,0.1,0.62
170374,2.33,23,2.92,0,0,0
170375,2.57,70,0.38,0,30,0
170377,1.9,38,0.58,0,33,0
170379,0.73,21,0.41,0,89.2,0
170381,2.14,22,0.77,0,20.2,0
170382,1.27,27,0.54,0,37,0
170383,1.4,23,0.42,0,85,0
170385,0.1,14,0.16,0,31.5,0
170387,0.63,2,0.06,0,11.9,0
170388,0.4,28,0.27,0,31,0
170390,0.8,19,0.19,0,45,0
170392,2.5,14,0.22,0,0,0
170393,0.3,12,0.24,0,5.9,0
170395,0.52,9,0.29,0,2,0
170396,0.64,8,0.26,0,2.7,0
170398,0.54,12,0.17,0,48.8,0
170400,0.7,20,0.33,0,8,0
170402,0.34,12,0.74,0,7.7,0
170404,0.24,10,0.16,0,2.8,0
170406,0.47,27,0.21,0,35.3,0
170408,1.07,29,0.26,0,40,0
170409,0.36,15,0.39,0,2.6,0
170410,0.33,7,0.07,0,3.3,0
170412,0.46,10,0.12,0,8,0
170413,0.34,8,0.09,0,5.1,0
170414,0.93,14,0.36,0,4.6,0
170415,1.25,17,0.42,0,1.6,0
170416,6.2,50,1.07,0,133,0
170417,0.59,29,0.59,0,17,0
170418,2.4,28,0.49,0,22,0
170419,1.47,33,1.24,0,40,0
170421,1.29,19,0.72,0,7.8,0
170422,2.26,56,1.05,0,10.4,0
170423,1.67,41,0.78,0,6.6,0
170424,0.75,14,0.58,0,6.6,0
170425,1.09,18,0.52,0,11.2,0
170426,0.5,14,0.17,0,68,0
170427,0.34,10,0.13,0,80.4,0
170429,0.8,11,0.18,0,46.5,0
170430,1.57,40,0.82,0,28.1,0
170431,0.88,24,0.22,0,4,0
170432,1.7,18,0.24,0,136,0
170433,1.2,14,0.19,0,82,0
170434,0.64,27,0.35,0,12.6,0
170435,0.7,28,0.4,0,12.6,0
170436,0.62,21,0.34,0,7.7,0
170437,0.75,28,0.4,0,11.8,0
170438,0.31,22,0.3,0,13,0
170440,0.31,20,0.27,0,7.4,0
170442,0.64,20,0.69,0,9.9,0
170443,0.72,14,0.39,0,7.6,0
170445,1.21,66,0.7,0,81,0
170446,0.16,11,0.18,0.3,9.7,0.11
170447,1.63,64,0.9,0,15.5,0
170448,0.32,15,0.24,0,3.1,0
170449,2.01,59,0.92,0,16.5,0
170450,0.38,14,0.25,0,3.3,0
170451,0.72,21,0.36,0,12.3,0
170452,0.8,25,0.43,0,14.2,0
170453,1.03,18,0.29,0,11.3,0
170454,0.96,34,0.55,0,10.4,0
170455,1.56,51,0.1,0,38,0
170456,0.51,10,0.07,0,23.4,0
170457,0.27,11,0.17,0,13.7,0
170458,0.39,11,0.11,0,70.1,0
170459,2.98,42,0.63,0,21.9,0
170460,1.78,23,0.36,0,10.6,0
170461,4.56,178,1.71,0,116.7,0
170462,0.76,21,0.28,0,13.2,0
170463,0.68,20,0.19,0,21.5,0
170464,0.16,5,0.31,0,30,0
170465,0.3,11,0.27,0,21,0
170467,1.51,20,0.23,0,15.5,0
170468,1.51,27,0.17,0,26.8,0
170470,1.63,18,0.16,0,25.8,0
170471,0.95,24,0.45,0,10.4,0
170473,0.29,12,0.12,0,54.3,0
170474,1.2,65,0.43,0,102,0
170475,0.38,10,0.59,0,10.5,0
170476,1.5,34,0.39,0,18.3,0
170477,1.09,30,0.28,0,9.8,0
170478,4,8,1.28,0,45,0
170479,0.36,19,0.23,0,2.4,0
170480,0.41,15,0.26,0,2.3,0
170481,3.3,52,0.2,0,35,0
170483,0.36,45,0.45,0,141,0
170485,7.6,161,0.66,0,118,0
170486,53.9,372,6.11,0,149,0
170487,0.35,17,0.29,0,17,0
170489,0.58,14,0.21,0,12.3,0
170490,0.44,13,0.22,0,9.6,0
170491,0.46,14,0.18,0,8.5,0
170492,0.53,15,0.48,0.5,3.7,0.31
170493,0.27,18,0.28,0.2,6.2,0.07
170494,1.19,30,0.85,0.8,7.3,0.4
170495,28.5,195,2,0,10.1,0
170496,2.18,107,0.38,0,3,0
170497,1.2,25,0.3,0,242.5,0
170498,0.47,18,0.3,0,16.7,0
170499,1.2,21,0.4,0,8,0
170500,3.93,118,1.57,0,14.6,0
170501,1.3,20,0.27,0,9.2,0
170502,0.47,8,0.14,0,16,0
170506,0.66,32,0.31,0,16,0
170512,0.75,14,0.58,0,6.6,0
170519,6.07,30,0.44,0,5.2,0
170520,0.31,20,0.27,0,7.4,0
170521,1.24,27,0.36,0,15.1,0
170523,0.62,21,0.35,0,17.3,0
170524,0.64,20,0.69,0,9.9,0
170525,0.57,19,0.4,0,10.6,0
170527,1.39,23,0.17,0,4.2,0
170536,0.58,9,0.12,0,3.5,0
170537,0.47,22,0.15,0,9.5,0
170538,0.28,13,0.1,0,6.5,0
170539,0.34,11,0.2,0,3.5,0
170541,0.72,18,0.2,0,12.8,0
170542,0.54,21,0.3,0,9.1,0
170543,0.72,30,0.27,0,5,0
170544,1.18,20,0.21,0,35.5,0
170545,0.39,11,0.11,0,70.1,0
170546,1.78,23,0.36,0,10.6,0
170550,1.09,30,0.28,0,9.8,0
170551,0.52,18,0.2,0,12.1,0
170552,2.09,68,1.13,0,27.4,0
170553,4.6,115,1.91,0,46.6,0
170554,7.72,335,4.58,0,1.6,0
170555,12.66,721,11.69,0,2.4,0
170556,8.82,592,7.81,0,1.9,0
170557,8.07,550,7.64,0,1.8,0
170558,4.9,353,5.05,0,0,0
170559,4.86,350,5.01,0,0,0
170560,14.22,338,10,0,0,0
170561,14.55,346,10.23,0,0,0
170562,5.25,325,5,0,1.4,0
170563,3.8,129,5.29,0,1.4,0
170564,4.28,127,5.21,0,1.1,0
170565,1.04,82,0.67,0,0,0
170566,1.21,110,0.64,0,0,0
170567,3.71,270,3.12,0,0,0
170568,3.28,268,2.97,0,0,0
170569,2.43,376,4.06,0,0.7,0
170570,4.02,237,3.13,0,3.2,0
170571,6,260,5.6,0,0,0
170572,6.05,273,5.35,0,0.3,0
170573,1.5,90,0.93,0,38.4,0
170574,1.01,32,0.52,0,43,0
170575,0.94,30,0.49,0,40.2,0
170576,2.38,74,0.35,0,15,0
170577,1.51,51,0.71,0,0,0
170578,1.84,49,1.59,0,0,0
170579,3.39,92,2.05,0,1.5,0
170580,2.28,28,0.96,0,2.8,0
170581,4.7,163,2.45,0,6.3,0
170582,3.3,160,2.2,0,2,0
170583,4.38,173,2.5,0,3.8,0
170584,1,27,0.34,0,15,0
170585,3.73,227,4.06,0,0.8,0
170586,3.43,209,3.42,0,0,0
170587,2.61,229,3.36,0,0.5,0
170588,2.57,251,4.66,0,0.5,0
170589,2.47,121,4.47,0,0.7,0
170590,3.53,302,2.97,0,0.6,0
170591,5.53,251,6.45,0,0.8,0
170592,3.06,234,4.28,0,2,0
170593,1.29,0,0,0,0,0
170594,2.57,151,2.98,0,1.4,0
170596,5.4,440,6,0,9,0
170597,39.36,19,2.79,0,50.3,5.02
170598,2.61,15,4.09,0.4,1.3,3.13
170599,0.59,13,1.42,0,0,1.39
170600,1.86,16,3.63,0.4,0,2.71
170601,2.83,21,7.61,0,0,2.53
170602,2.08,14,3.57,0.2,0,1.62
170603,2.43,23,7.74,0.1,0,2.89
170604,2.42,19,4.93,0,0,1.59
170605,3.31,23,10.05,0.1,0,3.73
170606,1.76,13,2.8,0,0,1.86
170607,2.85,21,3.93,0,0,1.73
170608,2.4,20,7.47,0.1,0,2.95
170609,2.82,20,6.34,0.1,0,2.73
170610,2.88,20,6.83,0.1,0,3
170611,2.53,21,5.96,0.3,0,2.45
170612,2.81,23,6.89,0.2,0,2.6
170613,2.76,21,7.61,0,0,2.43
170614,2.38,19,6.87,0,0,1.93
170615,2.89,22,7.79,0,0,2.59
170616,2.77,22,8.09,0,0,2.25
170617,3.18,20,8.58,0.4,0,2.31
170618,2.68,19,9.05,0.2,0,3.1
170619,2.33,20,5.76,0,0,2.33
170620,2.4,20,6.01,0,0,2.37
170621,2.82,25,7.46,0.2,0,2.61
170622,2.82,25,7.46,0,0,2.61
170623,1.87,25,5.46,0.1,0,1.64
170624,2.57,27,6.99,0,0,3.32
170625,2.57,27,6.99,0,0,3.32
170626,2.72,22,5.6,0.2,0,1.87
170627,2.28,19,4.81,0,0,1.44
170628,2.83,23,5.82,0.1,0,1.88
170629,2.33,19,4.79,0,0,1.53
170630,2.93,22,5.79,0,0,1.95
170631,2.4,18,4.74,0,0,1.61
170632,1.74,14,4.25,0,0,2.6
170633,1.84,15,4.33,0,0,2.32
170634,1.86,15,4.35,0,0,2.13
170635,1.74,14,4.28,0,0,2.61
170636,2.43,19,4.81,0,0,1.63
170637,2.26,18,4.75,0,0,1.41
170638,3.27,25,4.5,0.1,0,2.68
170639,3.27,25,4.5,0,0,2.68
170640,3.02,14,3.66,0.1,0,4.15
170641,3.59,20,4.68,0.1,0,4.57
170642,4.12,23,5.65,0.1,0,5.18
170643,3.11,14,3.78,0.1,0,4.29
170644,0.05,5,0.09,0,0,0
170645,0.49,4,0.06,0,8.8,0
170646,0.07,2,0.23,0,0,0
170647,1.4,114,2,0,0,0
170648,1.63,67,1.09,0,31.1,0
170649,1.63,67,1.09,0,31.1,0
170650,1.67,35,0.85,0,0,0
170651,1.67,35,0.85,0,0,0
170652,1.58,136,3,0,3,0
170653,0.74,45,1.17,0,0,0
170654,3.05,158,3.22,0,1.4,0
170655,3.39,161,3.14,0,1.3,0
170656,1.9,137,1.56,0,0,0
170657,14.5,476,6.7,0,0,0
170658,0.93,25,0.53,0,0.2,0
170659,0,21,1.06,0,0,0.45
170660,0.21,0,0,0,0.9,0
170661,0.09,0,0,0,0.8,0
170662,0.31,0,0,0,1.7,0
170663,0.52,0,0,0,1.4,0
170664,0.27,0,0,0,0.8,0
170665,0.75,0,0,0,0.6,0
170666,0.38,0,0,0,0.7,0
170667,0.41,0,0,0,1,0
170668,0.59,0,0,0,0.7,0
170669,0.64,60,1.45,0,0,0.18
170670,3.56,0,0,0,27.3,2.14
170671,0.09,14,0.69,0.2,0.6,0.39
170672,1.64,10,0.08,0,0,0
170673,0.06,0,0.01,0,0,0
170674,0.37,2,0.03,0,0,0
170675,0.16,6,0.04,0,0,0
170676,1.88,50,1.83,0,0,0.6
170677,2.06,74,0.99,0,0,0
170678,0.9,39,1.25,0,0,0.45
170679,0,0,0,0,0,0
170680,1.92,90,1.57,0,0,0.02
170681,0,40,0.55,0,0,0
170682,7.61,248,2.87,0,4.2,0
170683,2.1,65,0.86,0,0,0
170684,0.33,3,0.07,0,0,0
170685,2.47,221,2.42,0,0,0
170686,0.8,51,0.61,0,0,0
170687,4.06,251,3.12,0,0,0
170688,2.46,164,1.93,0,0,0
170689,1.19,32,1.75,0.1,0.4,0.93
170690,2.71,26,2.49,0.1,0,0.76
170691,2.25,23,2.21,0.1,0.4,1.31
170692,2.78,22,2.18,0.1,0.6,1.3
170693,3.06,27,2.52,0.1,0,0.89
170694,2.87,22,2.03,0.1,0.3,1.2
170695,2.64,23,2.27,0,0,0.96
170696,1.81,20,1.05,0.2,7.5,0.22
170697,0.78,19,0.51,0,1.4,0
170698,0.81,35,0.5,0,4.7,0
170699,0.31,15,0.22,0,0,0.07
170700,0.42,12,0.67,0,0,0.36
170701,2.4,39,1.83,0,0.2,1.13
170702,2.4,48,1.87,0,0,1.42
170703,2.6,49,2.38,0,0,2.05
170704,2.1,28,1.94,0,0,1.03
170705,1.52,23,0.64,0,1.1,0.11
170706,1.84,23,0.66,0,1.2,0.12
170707,1.78,20,0.88,0.2,0.9,0.12
170708,2.32,29,1.19,0,0.4,0.55
170709,2.32,29,1.19,0,0.4,0.55
170710,1.73,24,3.04,0.1,0.3,1.66
170711,1.84,23,0.66,0,1.2,0.12
170712,1.78,20,0.88,0,0.9,0.12
170713,2.09,20,1.5,0,0,0.44
170714,1.77,26,1.32,0,1.9,0.7
170715,1.36,25,1.71,0,3.4,0.62
170716,1.36,27,1.87,0,4.2,0.8
170717,2.87,21,1.95,0,0.6,0.83
170718,0.83,24,0.59,0.2,0.6,0.33
170719,2.1,22,2.63,0,0.8,1.26
170720,2,20,1.91,0,0.4,0.88
170721,0.8,37,0.51,0,5.6,0
170722,2.73,18,2.47,0,0.5,1.45
170723,1.5,24,0.61,0,0.3,0.33
170724,1.55,24,0.57,0,1.1,0.33
170725,0.62,22,0.61,0,1.3,0.33
170726,0.93,33,0.54,0,3.8,0
170727,4.37,18,2.83,0,0.2,0
170728,2,18,1.6,0,0.2,0
170729,2.8,18,3,0,0.2,0
170730,5.3,19,3.5,0,0.2,0
170731,0.62,27,0.7,0,1.1,0.15
170732,1.59,24,0.76,0,0.2,0.12
170733,2.22,21,2.15,0,0,0.96
170734,2.37,34,0.86,0,0.4,0.16
170735,1.82,23,0.88,0,0,0.27
170736,1.77,27,1.17,0,0,0.4
170737,1.42,28,0.98,0,0,0.14
170738,0.88,25,0.87,0,0,0.32
170739,0.53,27,0.97,0,0,0.26
170740,1.04,23,2.5,0,0,0.64
170741,0.87,20,1.91,0,0,0.47
170742,0.96,22,1.9,0,0,0.53
170743,0.89,25,1.75,0,0,0.41
170744,0.6,25,0.81,0,0,0.31
170745,0.97,23,1.96,0,0,0.54
170746,0.83,20,1.31,0,0,0.45
170747,0.79,22,1.24,0,0,0.39
170748,0.55,29,0.97,0,0,0.33
170749,1.06,25,2.59,0,0,0.85
170750,1.38,21,1.34,0,0,0.48
170751,1.38,22,1.25,0,0,0.54
170752,1.37,32,1.34,0.1,4.4,0.47
170753,1.32,31,1.17,0.2,3.8,0.46
170754,0.96,24,1.9,0.1,0,0.59
170755,1.12,23,0.81,0.2,0,0.34
170756,0.72,26,0.92,0.1,0,0.31
170757,0.99,22,1.83,0.1,0,0.59
170758,0.68,27,1.8,0,0.1,0.62
170759,2.3,26,1.63,0,1.1,0.55
170760,0.95,27,1.45,0,1.3,0.42
170761,0.9,28,1.64,0,0.9,0.55
170762,1.95,25,1.64,0,2,0.76
170763,1.67,19,1.37,0.1,0.1,0.84
170764,1.59,24,0.76,0.1,0.2,0.12
170765,1.77,25,1.42,0.2,0.1,0.19
170766,2.36,25,1.24,0,0.6,0.48
170767,2.5,24,1.27,0,0.4,0.5
170768,2.38,24,1.54,0,3,0.49
170769,2.45,23,1.4,0,2.8,0.49
170770,1.49,20,0.59,0,0,0
170771,0.78,19,0.51,0,1.4,0
170772,2.3,18,2.26,0,1.1,0.93
170773,2.04,22,1.49,0,3.1,0.4
170774,2.04,22,1.49,0,3.1,0.4
170775,0.14,11,0.09,0,5.2,0
170776,1.76,18,0.49,0,0.7,0.15
170777,1.47,19,0.72,0,0.3,0
170778,1.45,20,0.77,0,0.4,0.2
170779,2.63,40,1.83,0,0.4,2.1
170780,2.74,51,2.51,0,0,2.16
170781,2.53,41,1.93,0,0.2,1.19
170782,2.09,52,2.53,0,0.6,2.18
170783,2.53,21,8.25,0.1,0,3.32
170784,2.75,21,3.37,0,0,0
170785,1.47,19,0.72,0.1,0.3,0.11
170786,1.45,20,0.77,0,0.4,0.2
170787,2.28,18,1.09,0.8,0.5,0.74
170788,4.65,22,1.02,0,0,0.13
170789,4.65,22,1.02,0,0,0
170790,1.77,24,0.61,0,0,0.13
170791,2.64,23,2.27,0,0,0.96
170792,2.53,51,1.97,0,0,1.49
170793,2.21,23,1.6,0,0.4,0.34
170794,3.77,26,1.12,0.3,0.7,0.31
170795,1.99,24,0.71,0.3,0.6,0.24
170796,2.45,21,8.15,0.1,0,3.43
170797,2.97,18,10.98,0.2,0,3.51
170798,2.86,21,10.94,0.1,0,3.4
170799,2.93,19,10.91,0.1,0,3.47
170800,2.31,18,7.86,0.1,0,3.27
170801,2.87,25,10.54,0.1,0,3.37
170802,2.27,22,8.41,0.1,0,3.1
170803,2.33,23,8.54,0.1,0,3
170804,2.28,22,8.39,0.1,0,3.07
170805,3.32,23,10.76,0.1,0,4.48
170806,3.42,23,10.93,0.1,0,4.44
170807,2.51,26,8.06,0.1,0,3.22
170808,2.26,24,7.93,0.1,0,3.02
170809,2.2,20,5.51,0.1,0,2.42
170810,2.09,21,5.41,0.1,0,2.27
170811,3.25,22,11.39,0.2,0,3.55
170812,3.15,22,11.37,0.1,0,3.37
170813,2.19,20,6.99,0.1,0,2.82
170814,2.13,19,6.99,0.1,0,2.94
170815,2.27,20,6.98,0.1,0,2.63
170816,3.26,23,9.85,0.1,0,3.68
170817,2.38,20,7.51,0.1,0,3.22
170818,2.66,24,6.72,0,0,2.66
170819,2.56,26,6.88,0,0,2.83
170820,2.22,20,8.48,0.1,0,3.01
170821,3.29,22,10.44,0.1,0,4.3
170822,3.38,22,10.46,0.1,0,4.29
170823,3.21,22,10.31,0.1,0,4.35
170824,2.43,25,7.93,0.1,0,3.11
170825,2.76,21,10.23,0.1,0,3.29
170826,2.24,18,7.07,0.1,0,3
170827,2.3,18,7.13,0.1,0,2.9
170828,2.15,17,7.04,0.1,0,3.09
170829,2.51,16,8.93,0.2,0,3.12
170830,2.46,19,9.07,0.1,0,3.07
170831,2.1,16,6.65,0.1,0,2.91
170832,2.16,16,7.02,0.1,0,2.94
170833,1.97,16,5.89,0.1,0,2.8
170834,2.1,19,7.3,0.1,0,2.74
170835,2.14,20,7.36,0.1,0,2.64
170836,2.36,24,6.14,0.1,0,2.26
170837,2.35,24,6.2,0.1,0,2.31
170838,1.99,21,5.07,0.1,0,1.96
170839,1.94,23,5.67,0.1,0,1.87
170840,2.04,22,5.63,0.1,0,1.96
170841,1.8,23,5.72,0.1,0,1.75
170842,2.2,24,7.12,0.1,0,2.43
170843,0.23,14,3.5,0.6,0,1.68
170844,0.72,27,3,0.6,0,0.83
170845,0.44,20,2.92,0.4,0,2.28
170846,0.2,21,2.46,0.5,0,0.73
170847,0.22,23,2.76,0.3,0,0.82
170848,0.82,44,2.75,0.5,0,1.2
170849,0.43,24,2.6,0.5,0,1.5
170850,0.52,28,3.23,0.5,0,1.46
170851,0.13,20,0.53,0.2,0,0.85
170852,0.23,13,3.5,0,0,2.1
170853,0.63,26,2.49,7.5,0,1.5
170854,0.42,22,2.98,0.5,2.3,0.7
170855,0.61,29,3.61,0.5,0,1.23
170856,0.84,30,3.01,0,0,1.28
170857,0.05,9,0.32,1.1,0.8,0.14
170858,0.03,7,0.25,0.6,0.6,0.2
170859,0.1,7,0.24,1.6,0.6,0.16
170860,0.05,11,0.37,0.4,0,0.29
170861,0.05,13,0.36,0,0.9,0.34
170862,0.05,13,0.36,0,0.9,0.34
170863,0,115,4.11,0.1,0,1.85
170864,0.03,0,0,0,0,0
170865,0.03,7,0.08,0,0,0
170866,0.04,10,0.27,0.9,0.7,0.26
170867,0.02,1,0.01,0,0,0
170868,0.12,2,0.03,0,0,0
170869,0.39,6,1.18,0,0,0
170870,0.05,14,0.4,1,1,0.38
170871,0.06,16,0.45,1,1.1,0.43
170872,0.03,11,0.42,1.2,0,0.47
170873,0.05,14,0.4,1,1,0.38
170874,0.05,11,0.42,0,1,0.22
170875,0.05,5,0.38,1.3,0.9,0.36
170876,0.47,85,3.34,10.5,8.6,3.25
170877,0.32,110,4.08,0,6.8,4.03
170878,0.29,27,0.9,2,1.2,0.24
170879,0.24,13,0.41,1.3,0.9,0.33
170880,0.24,14,0.39,1.2,0,0.33
170881,0.23,13,0.43,1.1,0.4,0.23
170882,0.1,18,0.54,0,4.2,0.71
170883,0.31,16,0.48,1,0,0.32
170884,0.1,12,0.39,1.2,0,0.52
170885,0.08,10,0.43,0,0.1,0.18
170886,0.08,17,0.89,0,0.8,0.56
170887,0.09,19,0.97,0,0.9,0.61
170888,0.07,16,0.83,0,0.8,0.53
170889,0.06,13,0.67,0,0.6,0.43
170890,0.53,20,0.43,0.1,0.9,0.14
170891,0.03,0,0,0,0,0
170892,1.98,44,1.65,1.1,26.4,0.66
170893,1.71,9,1.3,1.5,0,1.21
170894,0.07,11,0.52,0,0,0.75
170895,0.18,82,0.13,0,0,0.2
170896,0.36,27,1.81,0,0,1.17
